date_id,year,quarter,month,is_annual,period_label,period_start,period_end,created_at
1,2007,,,t,2007 Annual,2007-01-01,2007-12-31,2026-05-29 15:27:34.531462
2,2008,,,t,2008 Annual,2008-01-01,2008-12-31,2026-05-29 15:27:34.531462
3,2009,,,t,2009 Annual,2009-01-01,2009-12-31,2026-05-29 15:27:34.531462
4,2010,,,t,2010 Annual,2010-01-01,2010-12-31,2026-05-29 15:27:34.531462
5,2011,,,t,2011 Annual,2011-01-01,2011-12-31,2026-05-29 15:27:34.531462
6,2012,,,t,2012 Annual,2012-01-01,2012-12-31,2026-05-29 15:27:34.531462
7,2013,,,t,2013 Annual,2013-01-01,2013-12-31,2026-05-29 15:27:34.531462
8,2014,,,t,2014 Annual,2014-01-01,2014-12-31,2026-05-29 15:27:34.531462
9,2015,,,t,2015 Annual,2015-01-01,2015-12-31,2026-05-29 15:27:34.531462
10,2016,,,t,2016 Annual,2016-01-01,2016-12-31,2026-05-29 15:27:34.531462
11,2017,,,t,2017 Annual,2017-01-01,2017-12-31,2026-05-29 15:27:34.531462
12,2018,,,t,2018 Annual,2018-01-01,2018-12-31,2026-05-29 15:27:34.531462
13,2019,,,t,2019 Annual,2019-01-01,2019-12-31,2026-05-29 15:27:34.531462
14,2020,,,t,2020 Annual,2020-01-01,2020-12-31,2026-05-29 15:27:34.531462
15,2021,,,t,2021 Annual,2021-01-01,2021-12-31,2026-05-29 15:27:34.531462
